model,price_band,listing_count,mae,median_absolute_error,median_actual_price,median_prediction
global_median,Under $5k,8834,13597.724247226624,13323.0,3450.0,16773.0
global_median,$5k-$10k,10338,9186.078158251112,9273.0,7500.0,16773.0
global_median,$10k-$20k,11183,2812.270231601538,2773.0,14995.0,16773.0
global_median,$20k-$35k,7555,10426.079152878889,10222.0,26995.0,16773.0
global_median,$35k-$50k,2648,24486.26812688822,23217.0,39990.0,16773.0
global_median,$50k+,1188,50776.196127946125,45222.0,61995.0,16773.0
segment_median,Under $5k,8834,4091.0768055241115,2000.0,3450.0,4999.0
segment_median,$5k-$10k,10338,2499.025681950087,1700.0,7500.0,7799.5
segment_median,$10k-$20k,11183,4149.606545649647,3256.0,14995.0,13995.0
segment_median,$20k-$35k,7555,5877.520317670417,4400.0,26995.0,24929.0
segment_median,$35k-$50k,2648,9543.081759818731,7400.0,39990.0,34791.0
segment_median,$50k+,1188,27096.616582491584,21433.0,61995.0,38998.0
ridge,Under $5k,8834,3462.977265817397,1580.3008952314876,3450.0,4988.968710362948
ridge,$5k-$10k,10338,2107.3581468870566,1426.023570934503,7500.0,7811.771088151513
ridge,$10k-$20k,11183,4193.245543250572,2661.0625386865686,14995.0,13162.44172836652
ridge,$20k-$35k,7555,6677.359390511528,5723.5518612619435,26995.0,21776.405533010646
ridge,$35k-$50k,2648,12482.62403680994,11514.35630996954,39990.0,31140.029462037728
ridge,$50k+,1188,27626.904884641328,22580.58859419722,61995.0,40165.75323280625
